id	n = 1	n = 2
810	3.9405	4.4405
811	3.0235	4.1135
812	2.6705	3.5065
813	2.3925	2.2425
814	3.0265	3.9665
815	3.3395	3.8115
816	3.7835	1.9945
817	2.2205	3.5505
818	2.8445	3.0565
819	1.5945	0.9855
820	2.4925	3.9265
821	2.5225	3.4635
822	1.8155	2.2385
823	3.6545	1.7115
824	2.9535	0.7705
825	4.0885	0.8605
826	2.9845	4.0275
827	1.5495	3.6425
828	2.4855	3.5495
829	0.9705	1.1385
830	3.6985	1.1885
831	2.6755	3.6425
832	2.2985	1.0455
833	3.0495	4.1275
834	2.5305	3.9815
835	2.2835	1.3225
836	0.4465	0.4045
837	1.2295	2.9595
838	4.1585	3.8065
839	1.5735	1.6195
840	1.8845	0.8755
841	1.1805	3.8615
842	2.8175	1.6645
843	0.6795	0.5115
844	3.4365	1.1885
845	0.7895	3.7395
846	2.8935	4.1425
847	2.7885	4.7665
848	3.1205	3.9635
849	3.2095	0.6105
850	0.7755	4.3145
851	1.8785	4.2105
852	1.9015	3.7335
853	1.6745	1.9135
854	3.4255	3.8365
855	2.5135	1.1325
856	2.3605	2.9395
857	2.8595	3.5355
858	1.3875	1.1865
859	3.0195	3.9195
860	2.5615	1.8655
861	2.0895	4.3715
862	2.6195	1.1755
863	3.4865	1.3475
864	2.3845	3.9775
865	3.4415	4.4005
866	1.0825	1.6085
867	1.5425	3.4655
868	1.3785	3.5335
869	2.4615	1.4195
870	2.3195	4.1105
871	2.0295	0.6485
872	2.4875	1.3005
873	0.6475	0.9935
874	4.0605	3.8755
875	2.6585	2.7785
876	2.5755	1.6855
877	1.7945	0.7715
878	2.9715	1.4795
879	2.0355	1.2055
880	3.2385	1.9445
881	2.5195	1.8455
882	1.6825	1.0055
883	3.0275	3.9345
884	2.7405	1.8145
885	3.0055	1.6475
886	2.4105	1.3215
887	3.9945	0.8165
888	2.4735	0.9665
889	3.6595	1.3885
890	0.7575	3.8595
891	2.0045	3.9875
892	0.7445	2.9085
893	0.5535	0.8705
894	4.3045	3.8275
895	1.5235	1.4005
896	2.8335	4.1065
897	2.9415	2.8365
898	2.0115	1.2355
899	3.7825	3.9735
900	1.2355	0.4205
901	2.2425	1.5585
902	2.0405	4.0845
903	2.6855	0.4985
904	1.7175	1.0175
905	1.1005	3.4245
906	2.4645	3.7825
907	3.8055	0.8435
908	2.6675	0.9975
909	2.2655	2.0575
910	1.0405	1.3255
911	1.7765	1.1245
912	4.8075	1.7275
913	2.8075	2.8015
914	0.7315	0.6075
915	3.1095	1.3095
916	3.5075	3.9595
917	1.4625	1.3795
918	1.4865	3.8155
919	0.8175	3.6155
920	2.6045	4.1635
921	3.0255	3.5855
922	1.6615	0.8535
923	1.3235	3.2675
924	1.5085	2.8915
925	2.9705	0.3675
926	3.7185	1.2575
927	1.4775	3.6695
928	2.6355	0.4185
929	3.2105	1.6865
930	2.9635	4.1195
931	3.4325	1.4415
932	4.4635	1.0275
933	0.4315	1.2685
934	3.3845	3.7145
935	2.7015	0.5655
936	3.8705	3.7905
937	2.2635	1.9655
938	2.3025	3.1975
939	1.4105	2.3495
940	0.7045	0.2555
941	0.6815	3.1765
942	2.4415	4.3915
943	3.6665	3.9575
944	2.1375	0.5805
945	4.0155	3.7195
946	1.2605	1.8155
947	1.4845	1.4795
948	1.2295	3.7395
949	1.2705	1.7145
950	0.9065	1.1895
951	3.0935	0.8995
952	2.4155	0.4565
953	3.6795	3.6505
954	1.7665	4.0875
955	0.7545	0.7415
956	1.1655	1.6205
957	2.8555	3.4585
958	2.5345	1.1805
959	4.6185	1.6595
960	2.8635	4.4415
961	2.7735	0.5915
962	3.5055	4.3655
963	3.8405	3.5065
964	1.5325	0.1365
965	2.6815	3.3775
966	3.1725	1.1295
967	2.0595	4.0625
968	2.8725	3.4205
969	3.8285	2.5715
970	0.4205	1.2885
971	2.8505	3.1955
972	1.8835	4.2305
973	2.2645	3.0595
974	3.0875	1.9615
975	3.5355	3.6815
976	3.3815	4.0835
977	2.4465	1.1275
978	3.2025	3.4355
979	2.1885	3.4045
980	3.1285	1.6785
981	2.3335	3.5245
982	2.1855	0.9465
983	2.8715	3.4365
984	2.6985	3.5545
985	0.7655	3.1865
986	1.5565	3.9445
987	2.0885	1.9145
988	0.9195	1.8415
989	2.4655	2.0215
990	2.5265	4.2055
991	3.0135	1.0035
992	2.1625	4.1375
993	3.3435	1.2705
994	3.2845	3.7535
995	2.1675	3.2825
996	1.3975	0.9335
997	1.2425	0.9255
998	2.9885	0.9085
999	0.9135	0.7995
1000	2.7125	1.8585
